#day                      flux
 1.225892976622308e+03 1.001038062500000e+06 
 1.225899788064802e+03 1.001283875000000e+06 
 1.225906599607268e+03 1.001018812500000e+06 
 1.225913411049733e+03 1.001070500000000e+06 
 1.225920222392226e+03 1.001042750000000e+06 
 1.225927033834691e+03 1.000989562500000e+06 
 1.225933845377185e+03 1.000908250000000e+06 
 1.225940656819679e+03 1.000815500000000e+06 
 1.225947468262195e+03 1.001001812500000e+06 
 1.225954279604688e+03 1.000715750000000e+06 
 1.225961091047182e+03 1.001188062500000e+06 
 1.225967902589706e+03 1.001481875000000e+06 
 1.225974714032229e+03 1.001598187500000e+06 
 1.225981525374722e+03 1.001567437500000e+06 
 1.225988336817274e+03 1.001755125000000e+06 
 1.225995148359798e+03 1.002701562500000e+06 
 1.226001959802321e+03 1.004218687500000e+06 
 1.226008771244866e+03 1.007000187500000e+06 
 1.226015582587417e+03 1.007731250000000e+06 
 1.226022394029969e+03 1.007779250000000e+06 
 1.226029205572522e+03 1.007589562500000e+06 
 1.226036017015074e+03 1.007449250000000e+06 
 1.226042828457656e+03 1.007754937500000e+06 
 1.226049639800207e+03 1.007709750000000e+06 
 1.226056451342789e+03 1.007858187500000e+06 
 1.226063262785370e+03 1.007674625000000e+06 
 1.226070074227944e+03 1.007926125000000e+06 
 1.226076885670554e+03 1.007978500000000e+06 
 1.226083697113136e+03 1.008027687500000e+06 
 1.226090508555746e+03 1.007700937500000e+06 
 1.226097319998327e+03 1.007398937500000e+06 
 1.226104131440938e+03 1.007689937500000e+06 
 1.226110942783547e+03 1.007762500000000e+06 
 1.226117754326187e+03 1.007716062500000e+06 
 1.226124565768798e+03 1.007943000000000e+06 
 1.226131377211430e+03 1.007721375000000e+06 
 1.226138188754070e+03 1.007915812500000e+06 
 1.226145000096680e+03 1.007774125000000e+06 
 1.226151811539319e+03 1.007756750000000e+06 
 1.226158622981988e+03 1.007566562500000e+06 
 1.226165434424627e+03 1.007948625000000e+06 
 1.226172245967296e+03 1.007816625000000e+06 
 1.226179057309935e+03 1.007828062500000e+06 
 1.226185868752604e+03 1.007914562500000e+06 
 1.226192680195265e+03 1.007567125000000e+06 
 1.226199491737963e+03 1.007741375000000e+06 
 1.226206303180632e+03 1.007776375000000e+06 
 1.226213114523329e+03 1.008088000000000e+06 
 1.226219925965997e+03 1.007924625000000e+06 
 1.226226737508696e+03 1.007902500000000e+06 
 1.226233548951393e+03 1.007942562500000e+06 
 1.226240360294090e+03 1.007745500000000e+06 
 1.226247171736817e+03 1.007934125000000e+06 
 1.226253983179507e+03 1.007890187500000e+06 
 1.226260794722235e+03 1.007731687500000e+06 
 1.226267606164962e+03 1.007870375000000e+06 
 1.226274417507688e+03 1.008008375000000e+06 
 1.226281228950415e+03 1.008106687500000e+06 
 1.226288040493142e+03 1.007853250000000e+06 
 1.226294851935869e+03 1.007881500000000e+06 
 1.226301663378625e+03 1.007852500000000e+06 
 1.226308474721380e+03 1.007611187500000e+06 
 1.226315286264129e+03 1.007763625000000e+06 
 1.226322097706885e+03 1.007852000000000e+06 
 1.226328909149641e+03 1.008549875000000e+06 
 1.226335720592426e+03 1.007956250000000e+06 
 1.226342531935181e+03 1.007545187500000e+06 
 1.226349343477967e+03 1.007629625000000e+06 
 1.226356154920752e+03 1.007993812500000e+06 
 1.226362966363537e+03 1.007785062500000e+06 
 1.226369777906315e+03 1.007794250000000e+06 
 1.226376589249099e+03 1.007702437500000e+06 
 1.226383400691913e+03 1.007841687500000e+06 
 1.226390212134727e+03 1.007900687500000e+06 
 1.226397023577541e+03 1.007711375000000e+06 
 1.226403835020355e+03 1.007713750000000e+06 
 1.226410646463170e+03 1.007735312500000e+06 
 1.226417457905984e+03 1.007808875000000e+06 
 1.226424269348827e+03 1.007886312500000e+06 
 1.226431080791663e+03 1.007963500000000e+06 
 1.226437892234477e+03 1.007854875000000e+06 
 1.226444703677320e+03 1.007844375000000e+06 
 1.226451515120163e+03 1.007952000000000e+06 
 1.226458326563035e+03 1.008080375000000e+06 
 1.226465138005879e+03 1.007765812500000e+06 
 1.226471949448751e+03 1.007926125000000e+06 
 1.226478760891594e+03 1.007594687500000e+06 
 1.226485572334466e+03 1.007674937500000e+06 
 1.226492383777331e+03 1.007793562500000e+06 
 1.226499195220204e+03 1.008004500000000e+06 
 1.226506006663105e+03 1.007852875000000e+06 
 1.226512818105977e+03 1.007670875000000e+06 
 1.226519629548879e+03 1.007867687500000e+06 
 1.226526440991780e+03 1.007699062500000e+06 
 1.226533252334681e+03 1.007683625000000e+06 
 1.226540063877583e+03 1.008032312500000e+06 
 1.226546875320513e+03 1.007752250000000e+06 
 1.226553686763407e+03 1.007885937500000e+06 
 1.226560498306339e+03 1.007825312500000e+06 
 1.226567309649268e+03 1.008026000000000e+06 
 1.226574121092170e+03 1.007984000000000e+06 
 1.226580932535129e+03 1.007682000000000e+06 
 1.226587743978060e+03 1.007538937500000e+06 
 1.226594555520991e+03 1.007880500000000e+06 
 1.226601366863950e+03 1.007726562500000e+06 
 1.226608178306909e+03 1.007936125000000e+06 
 1.226614989749862e+03 1.008045687500000e+06 
 1.226642916746030e+03 1.008196125000000e+06 
 1.226649728188990e+03 1.007830875000000e+06 
 1.226656539631978e+03 1.007881375000000e+06 
 1.226663350974966e+03 1.008078250000000e+06 
 1.226670162517956e+03 1.007757375000000e+06 
 1.226676973960944e+03 1.007338750000000e+06 
 1.226683785403955e+03 1.007790750000000e+06 
 1.226690596846944e+03 1.007783000000000e+06 
 1.226697408289961e+03 1.007760687500000e+06 
 1.226704219732979e+03 1.007899687500000e+06 
 1.226711031175997e+03 1.007499625000000e+06 
 1.226717842619015e+03 1.007738625000000e+06 
 1.226724653962061e+03 1.007804937500000e+06 
 1.226731465405079e+03 1.007553562500000e+06 
 1.226738276948126e+03 1.007923875000000e+06 
 1.226745088391166e+03 1.007948625000000e+06 
 1.226760754650168e+03 1.007774687500000e+06 
 1.226767566193215e+03 1.007738812500000e+06 
 1.226774377636284e+03 1.007716500000000e+06 
 1.226781188979359e+03 1.007779812500000e+06 
 1.226788000422406e+03 1.007958000000000e+06 
 1.226794811965512e+03 1.007766562500000e+06 
 1.226801623408559e+03 1.007926187500000e+06 
 1.226808434851664e+03 1.007971750000000e+06 
 1.226815246194739e+03 1.008041875000000e+06 
 1.226822057737816e+03 1.007726812500000e+06 
 1.226828869180921e+03 1.007720125000000e+06 
