#day	flux
1.22371127132722E+03	1.00104600000000E+06
1.22371808286797E+03	1.00084737500000E+06
1.22372489420875E+03	1.00103987500000E+06
1.22373170564949E+03	1.00119906250000E+06
1.22373851709027E+03	1.00108643750000E+06
1.22374532853105E+03	1.00107837500000E+06
1.22375214007185E+03	1.00088250000000E+06
1.22375895141262E+03	1.00089381250000E+06
1.22377461776647E+03	1.00167150000000E+06
1.22378142920728E+03	1.00189462500000E+06
1.22378824064808E+03	1.00239743750000E+06
1.22379505208891E+03	1.00330375000000E+06
1.22380186352975E+03	1.00599150000000E+06
1.22380867497058E+03	1.00795068750000E+06
1.22381548641139E+03	1.00807825000000E+06
1.22382229785225E+03	1.00839925000000E+06
1.22382910929312E+03	1.00761512500000E+06
1.22383592073395E+03	1.00808606250000E+06
1.22384273217482E+03	1.00787156250000E+06
1.22384954361567E+03	1.00784856250000E+06
1.22385635505657E+03	1.00808318750000E+06
1.22386316649743E+03	1.00781868750000E+06
1.22386997793832E+03	1.00791375000000E+06
1.22387678927922E+03	1.00787575000000E+06
1.22388360082011E+03	1.00785475000000E+06
1.22389041226100E+03	1.00794281250000E+06
1.22389722370193E+03	1.00813756250000E+06
1.22390403514285E+03	1.00779256250000E+06
1.22391084658376E+03	1.00790950000000E+06
1.22391765802469E+03	1.00765725000000E+06
1.22392446946561E+03	1.00783293750000E+06
1.22393128090653E+03	1.00807281250000E+06
1.22393809244748E+03	1.00776675000000E+06
1.22394490378843E+03	1.00785331250000E+06
1.22395171522939E+03	1.00750125000000E+06
1.22395852667034E+03	1.00763625000000E+06
1.22396533821131E+03	1.00798012500000E+06
1.22397214955229E+03	1.00760012500000E+06
1.22397896099324E+03	1.00755968750000E+06
1.22398577243425E+03	1.00785668750000E+06
1.22399258387523E+03	1.00797643750000E+06
1.22399939541621E+03	1.00780562500000E+06
1.22400620675722E+03	1.00772462500000E+06
1.22401301819823E+03	1.00781225000000E+06
1.22401982963924E+03	1.00798750000000E+06
1.22402664118024E+03	1.00758025000000E+06
1.22403345262128E+03	1.00761231250000E+06
1.22404026396229E+03	1.00814306250000E+06
1.22404707540333E+03	1.00777481250000E+06
1.22405388684437E+03	1.00788181250000E+06
1.22406069838541E+03	1.00780575000000E+06
1.22406750982648E+03	1.00775825000000E+06
1.22407432116751E+03	1.00790012500000E+06
1.22408113260858E+03	1.00771031250000E+06
1.22408794414964E+03	1.00741281250000E+06
1.22409475559071E+03	1.00791806250000E+06
1.22410156693178E+03	1.00791593750000E+06
1.22410837837288E+03	1.00769512500000E+06
1.22411518991397E+03	1.00789956250000E+06
1.22412200135507E+03	1.00796668750000E+06
1.22412881279617E+03	1.00776775000000E+06
1.22413562413726E+03	1.00784600000000E+06
1.22414243557839E+03	1.00789075000000E+06
1.22414924711951E+03	1.00781837500000E+06
1.22415605856064E+03	1.00782300000000E+06
1.22416287000176E+03	1.00789031250000E+06
1.22416968134289E+03	1.00749081250000E+06
1.22417649288404E+03	1.00781343750000E+06
1.22418330432517E+03	1.00799643750000E+06
1.22419011576632E+03	1.00784156250000E+06
1.22419692720748E+03	1.00805025000000E+06
1.22420373864866E+03	1.00758531250000E+06
1.22421055008981E+03	1.00804781250000E+06
1.22421736153100E+03	1.00784018750000E+06
1.22422417297218E+03	1.00797756250000E+06
1.22423098431336E+03	1.00794243750000E+06
1.22423779585455E+03	1.00799412500000E+06
1.22424460729573E+03	1.00777237500000E+06
1.22425141873695E+03	1.00760912500000E+06
1.22425823027816E+03	1.00791500000000E+06
1.22426504161937E+03	1.00798737500000E+06
1.22427185306058E+03	1.00773625000000E+06
1.22427866450179E+03	1.00763037500000E+06
1.22428547594303E+03	1.00786506250000E+06
1.22429228748428E+03	1.00774881250000E+06
1.22429909882552E+03	1.00748800000000E+06
1.22430591026676E+03	1.00758118750000E+06
1.22431272170803E+03	1.00727806250000E+06
1.22431953324928E+03	1.00786162500000E+06
1.22432634469054E+03	1.00775043750000E+06
1.22433315603181E+03	1.00770556250000E+06
1.22433996747308E+03	1.00778075000000E+06
1.22434677901438E+03	1.00801475000000E+06
1.22435359045566E+03	1.00788500000000E+06
