rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,rowupdate,pl_disc
594,HD 70642,b,Radial Velocity,1,2068,39,-39,0,3.23,0.19,-0.19,0,0.034,0.043,-0.043,0,,,,,1.97,0.18,-0.18,0,Msini,,,,,,,,,0,0,0,0,08h21m28.14s,125.367233,-39d42m19.5s,-39.70541,28.76,0.49,-0.5,0,7.18,,0,0,V (Johnson),5706,,,0,0,1.05,,,0,0,,,,,0,2015-03-26,2003
593,HD 70573,b,Radial Velocity,1,851.8,11.6,-11.6,0,1.76,0.05,-0.05,0,0.4,0.1,-0.1,0,,,,,6.1,0.4,-0.4,0,Msini,,,,,,,,,0,0,0,0,08h22m49.95s,125.708135,+01d51m33.6s,1.859323,45.7,,,0,11.424,0.106,0,0,V (Johnson),5737,70,-70,0,0,1,0.1,-0.1,0,0,,,,,0,2015-03-26,2007
590,HD 69830,b,Radial Velocity,3,8.667,0.003,-0.003,0,0.0785,,,0,0.1,0.04,-0.04,0,,,,,0.0321,,,0,Msini,,,,,,,,,0,0,0,0,08h18m23.95s,124.599777,-12d37m55.8s,-12.632174,12.58,0.12,-0.12,0,6,,0,0,V (Johnson),5385,20,-20,0,0,0.86,0.03,-0.03,0,0,,,,,0,2015-03-26,2006
591,HD 69830,c,Radial Velocity,3,31.56,0.04,-0.04,0,0.186,,,0,0.13,0.06,-0.06,0,,,,,0.0371,,,0,Msini,,,,,,,,,0,0,0,0,08h18m23.95s,124.599777,-12d37m55.8s,-12.632174,12.58,0.12,-0.12,0,6,,0,0,V (Johnson),5385,20,-20,0,0,0.86,0.03,-0.03,0,0,,,,,0,2015-03-26,2006
592,HD 69830,d,Radial Velocity,3,197,3,-3,0,0.63,,,0,0.07,0.07,-0.07,0,,,,,0.057,,,0,Msini,,,,,,,,,0,0,0,0,08h18m23.95s,124.599777,-12d37m55.8s,-12.632174,12.58,0.12,-0.12,0,6,,0,0,V (Johnson),5385,20,-20,0,0,0.86,0.03,-0.03,0,0,,,,,0,2015-03-26,2006
589,HD 68988,b,Radial Velocity,1,6.27711,0.00021,-0.00021,0,0.0704,0.0041,-0.0041,0,0.1249,0.0087,-0.0087,0,,,,,1.86,0.16,-0.16,0,Msini,,,,,,,,,0,0,0,0,08h18m22.17s,124.592384,+61d27m38.6s,61.460724,58.82,3.14,-3.52,0,8.2,,0,0,V (Johnson),5960,,,0,0,1.18,,,0,0,,,,,0,2015-03-26,2001
585,HD 66428,b,Radial Velocity,1,1973,31,-31,0,3.18,0.19,-0.19,0,0.465,0.03,-0.03,0,,,,,2.82,0.27,-0.27,0,Msini,,,,,,,,,0,0,0,0,08h03m28.67s,120.869438,-01d09m45.8s,-1.162709,55.04,3.52,-4.03,0,8.258,0.013,0,0,V (Johnson),5752,,,0,0,1.1,,,0,0,,,,,0,2014-07-23,2005
582,HD 65216,b,Radial Velocity,2,572.4,2.1,-2.1,0,1.3,0.03,-0.03,0,0,0.02,-0.02,0,,,,,1.26,0.04,-0.04,0,Msini,,,,,,,,,0,0,0,0,07h53m41.32s,118.422173,-63d38m50.4s,-63.647324,35.59,0.85,-0.9,0,7.964,0.011,0,0,V (Johnson),5666,,,0,0,0.92,,,0,0,,,,,,2014-05-14,2003
581,HD 6434,b,Radial Velocity,1,22.017,0.0008,-0.0008,0,0.148,0.002,-0.002,0,0.146,0.025,-0.025,0,,,,,0.44,0.01,-0.01,0,Msini,,,,,,,,,0,0,0,0,01h04m40.15s,16.167295,-39d29m17.6s,-39.488216,40.32,1.4,-1.5,0,7.71,0.12,0,0,V (Johnson),5690,92,-92,0,0,0.89,0.04,-0.04,0,0,1.14,0.05,-0.05,0,0,2015-11-19,2003
579,HD 63454,b,Radial Velocity,1,2.818049,0.000071,-0.000071,0,0.0368,,,0,0,0.022,-0.022,0,,,,,0.398,,,0,Msini,1.098,,,0,,,,,0,0,0,0,07h39m21.85s,114.841049,-78d16m44.3s,-78.278969,35.8,1.07,-1.14,0,9.37,,0,0,V (Johnson),4840,66,-66,0,0,0.84,,,0,0,1.05,,,0,0,2015-03-26,2005
